category,product_name,institution_type,description,best_for
Chequing,Everyday Chequing Account,Bank,Daily banking with debit purchases Interac e-Transfer direct deposit and bill payments,daily banking and payroll deposits
High-Interest Savings,High-Interest Savings Account,Bank,Flexible savings account for emergency funds and near-term goals,emergency fund and short-term savings
Credit Card,Cash Back Credit Card,Bank,Rewards card for groceries transit and recurring bills,regular spending that is paid in full monthly
Mortgage,Fixed-Rate Mortgage,Bank,Home financing with predictable monthly payments,home purchase stability
Line of Credit,Personal Line of Credit,Bank,Flexible revolving credit with lower rates than many cards,short-term liquidity and debt management
Personal Loan,Personal Installment Loan,Bank,Fixed payment borrowing for planned expenses,debt consolidation or planned purchases
TFSA,TFSA Investment Account,Bank or Brokerage,Tax-free account that can hold cash GICs ETFs or mutual funds,flexible medium and long-term saving
RRSP,RRSP Investment Account,Bank or Brokerage,Tax-deferred retirement account with deductible contributions,retirement saving and tax deduction
FHSA,FHSA Savings or Investment Account,Bank or Brokerage,Registered account for a first home with deductible contributions and tax-free qualifying withdrawals,first-home down payment savings
RESP,RESP Education Savings Plan,Bank or Brokerage,Registered education savings plan for a child or dependent,education savings
GIC,Guaranteed Investment Certificate,Bank,Fixed term deposit with principal protection and known maturity value,capital preservation
ETF Investing,Self-Directed ETF Portfolio,Brokerage,Diversified low-cost investing through exchange-traded funds,long-term growth with moderate fees
Robo-Advising,Managed ETF Portfolio,Fintech or Brokerage,Automated diversified portfolio based on a risk questionnaire,hands-off investing
Insurance,Credit and Life Insurance,Bank or Insurer,Coverage options linked to loans or broader financial protection,risk protection
Auto Loan,Auto Loan,Bank or Credit Union,Fixed installment financing for a vehicle purchase,vehicle financing
New to Canada,Newcomer Banking Package,Bank,Bundled chequing savings and newcomer support services,new residents to Canada
