month,starting_value,net_contributions,market_impact,income,fees,ending_value,monthly_return_pct,primary_driver
2025-01,48620.00,800.00,620.00,42.00,9.00,50073.00,1.28,North American equities rebounded after a steady start to the year while cash ETFs added modest carry
2025-02,50073.00,700.00,-215.00,39.00,9.00,50588.00,-0.43,Canadian bond funds were stable but U.S. equities paused after strong January gains
2025-03,50588.00,900.00,1180.00,44.00,9.00,52703.00,2.33,U.S. large-cap equities and global developed markets led gains while bond ETFs also helped
2025-04,52703.00,500.00,-640.00,41.00,9.00,52595.00,-1.21,Rate-sensitive growth exposure and real estate lagged during a short risk-off stretch
2025-05,52595.00,1000.00,940.00,43.00,9.00,54569.00,1.79,Canadian equities and broad global holdings recovered as risk sentiment improved
2025-06,54569.00,1200.00,510.00,46.00,9.00,56316.00,0.94,Returns were positive but more muted because bond gains offset a softer month for real estate exposure
2025-07,56316.00,1200.00,780.00,47.00,9.00,58334.00,1.38,U.S. and global equity ETFs advanced while cash and short bonds added steady income
2025-08,58334.00,400.00,-520.00,48.00,9.00,58253.00,-0.89,A late-summer equity pullback offset contributions even though bond exposure was relatively stable
2025-09,58253.00,1200.00,690.00,49.00,9.00,60183.00,1.18,Markets recovered as diversified equity holdings improved and fixed income remained steady
2025-10,60183.00,1000.00,-310.00,50.00,9.00,60914.00,-0.51,Higher-rate concerns weighed on growth ETFs and were partly offset by new contributions and income
2025-11,60914.00,1300.00,860.00,52.00,9.00,63117.00,1.41,Broad equities rallied and Canadian dividend exposure helped the portfolio finish the month higher
2025-12,63117.00,1500.00,430.00,54.00,9.00,65092.00,0.68,Year-end gains were positive but moderate as equity strength was balanced by conservative cash and bond holdings
